iter	Passed	Remaining
398	306170	77501
399	306959	76739
400	307724	75971
401	308346	75169
402	309065	74390
403	309858	73629
404	310659	72870
405	311421	72102
406	312152	71327
407	312904	70556
408	313692	69794
409	314492	69034
410	315148	68243
411	315870	67467
412	316687	66711
413	317453	65944
414	318211	65175
415	319002	64413
416	319760	63645
417	320529	62879
418	321400	62132
419	322183	61368
420	322934	60598
421	323729	59836
422	324544	59077
423	325306	58309
424	325926	57516
425	326747	56758
426	327523	55993
427	328301	55228
428	329019	54453
429	329766	53682
430	330564	52920
431	331403	52165
432	332189	51401
433	332823	50613
434	333546	49840
435	334322	49074
436	335137	48314
437	335851	47540
438	336588	46769
439	337436	46014
440	338232	45251
441	339017	44486
442	339783	43719
443	340519	42948
444	341325	42186
445	342191	41431
446	342940	40661
447	343694	39893
448	344498	39130
449	345207	38356
450	345977	37589
451	346700	36817
452	347544	36058
453	348273	35287
454	349048	34521
455	349814	33754
456	350596	32988
457	351383	32222
458	352125	31453
459	352984	30694
460	353816	29932
461	354571	29163
462	355366	28398
463	356110	27629
464	356922	26865
465	357616	26092
466	358450	25329
467	359110	24554
468	359841	23784
469	360586	23016
470	361342	22248
471	362116	21481
472	362869	20713
473	363722	19950
474	364510	19184
475	365299	18418
476	366091	17652
477	366810	16882
478	367568	16114
479	368418	15350
480	369176	14582
481	369946	13815
482	370659	13045
483	371456	12279
484	372226	11512
485	373032	10745
486	373826	9978
487	374546	9210
488	375259	8441
489	375931	7672
490	376642	6903
491	377420	6136
492	378168	5369
493	378944	4602
494	379715	3835
495	380485	3068
496	381218	2301
497	381950	1533
498	382693	766
499	383424	0
